Case,Real,Simulated
Random intercepts,0.23 (1.8e+06),96.34 (1.3e+06)
,37.76 (6.8e+06),179.38 (3.1e+06)
Nested effect,0.13 (5.1e+06),60.99 (2.5e+06)
,14.67 (2.2e+07),88.27 (6.5e+06)
Random slopes,0.11 (7.8e+06),150.27 (5.4e+06)
,20.22 (4.1e+07),369.70 (1.1e+07)
Nested random slopes,0.13 (1.0e+07),97.03 (8.6e+06)
,18.35 (5.6e+07),199.27 (2.2e+07)
2 way interactions,0.38 (4.2e+07),46.89 (1.9e+07)
,28.00 (3.1e+08),1538.58 (1.0e+08)
3 way interactions,0.15 (6.2e+07),33.41 (2.6e+07)
,14.86 (5.4e+08),923.33 (1.7e+08)
Everything,0.30 (9.8e+07),68.14 (5.1e+07)
,11.64 (1.3e+09),723.46 (3.4e+08)
