Case,Real,Simulated
Random intercepts,2.01 (6.72e-05),0.14 (1.94e-03)
,1.95 (9.68e-05),2.20 (7.88e-05)
Nested effect,2.24 (9.38e-05),3.30 (6.21e-05)
,1.52 (1.28e-04),2.22 (9.69e-05)
Random slopes,1.69 (2.20e-04),2.47 (1.47e-04)
,0.91 (3.33e-04),1.51 (2.04e-04)
2 way interactions,0.92 (4.34e-03),0.66 (3.93e-03)
,0.54 (1.40e-02),0.50 (8.66e-03)
3 way interactions,1.37 (1.83e-02),1.71 (2.31e-02)
,0.70 (8.79e-02),1.20 (5.76e-02)
Everything,0.92 (2.96e-02),1.13 (4.24e-02)
,0.59 (1.21e-01),0.82 (9.85e-02)
