Case,Real,Simulated
Random intercepts,3.29 (9.23e-04),18.09 (8.12e-04)
,7.76 (9.58e-03),28.04 (3.29e-03)
Nested effect,1.65 (4.45e-03),21.14 (1.70e-03)
,4.20 (2.36e-02),14.28 (7.11e-03)
Random slopes,1.49 (5.42e-03),25.33 (3.35e-03)
,3.14 (4.38e-02),20.91 (1.21e-02)
Nested random slopes,0.68 (9.91e-03),8.91 (9.65e-03)
,2.86 (5.37e-02),13.36 (2.20e-02)
2 way interactions,0.77 (5.79e-02),4.97 (2.41e-02)
,2.12 (3.90e-01),33.83 (1.71e-01)
3 way interactions,0.90 (7.69e-02),3.68 (3.51e-02)
,1.35 (7.09e-01),26.60 (2.46e-01)
Everything,0.62 (1.47e-01),4.78 (6.35e-02)
,0.73 (1.97e+00),18.03 (5.16e-01)
